"zone","ID","fam","taxagroup","species","longevity","growth","densityCHAVE","human.influ","tseas","moistwetq","low.w.rad","temp","moistdq","cloud","soil_class","alt.group","phylo"
"Tropics",1,"Pinaceae","Conifer","Abies guatemalensis",311,1.94,0.43,35,1340,1.18,144.72,24.5,0.18,302,"Leptosols","High altitude","Abies_guatemalensis"
"Tropics",2,"Meliaceae","Eudicot","Toona ciliata",186,5.52,0.56,39,1669,1.38,144.84,22.1,0.19,307,"Nitisols","Lowland","Toona_ciliata"
"Tropics",3,"Lamiaceae","Eudicot","Tectona grandis",221,4,0.601,56,1941,2.47,135.71,27,0.09,596,"Fluvisols","Lowland","Tectona_grandis"
"Tropics",4,"Lamiaceae","Eudicot","Tectona grandis",523,2.62,0.601,14,1043,1.96,143.7,22.6,0.4,207,"Plinthosols","Lowland","Tectona_grandis"
"Tropics",5,"Lamiaceae","Eudicot","Tectona grandis",262,NA,0.601,18,1325,2.19,143.27,27.7,0.25,329,"Nitisols","Lowland","Tectona_grandis"
"Tropics",6,"Lamiaceae","Eudicot","Tectona grandis",219,NA,0.601,22,1036,1.59,145.38,21.6,0.52,179,"Nitisols","Lowland","Tectona_grandis"
"Tropics",7,"Fabaceae","Eudicot","Amburana cearensis",243,5.38,0.524,12,1095,1.32,125.82,25.1,0.44,157,"Fluvisols","Lowland","Amburana_cearensis"
"Tropics",8,"Lecythidaceae","Eudicot","Bertholletia excelsa",427,NA,0.638,15,685,1.36,105.84,26.5,0.34,210,"Ferralsols","Lowland","Bertholletia_excelsa"
"Tropics",9,"Meliaceae","Eudicot","Cedrela odorata",308,7.5,0.447,12,1095,1.32,125.82,25.1,0.44,157,"Fluvisols","Lowland","Cedrela_odorata"
"Tropics",10,"Fabaceae","Eudicot","Cedrelinga cateniformis",123,10.86,0.504,15,685,1.36,105.84,26.5,0.34,210,"Ferralsols","Lowland","Cedrelinga_cateniformis"
"Tropics",11,"Fabaceae","Eudicot","Peltogyne heterophylla",254,4.54,0.87,15,685,1.36,105.84,26.5,0.34,210,"Ferralsols","Lowland","Peltogyne_heterophylla"
"Tropics",12,"Fabaceae","Eudicot","Tachigali vasquezii",60,NA,0.557,15,685,1.36,105.84,26.5,0.34,210,"Ferralsols","Lowland","Tachigali_vasquezii"
